order_id,order_date,region,product,category,units,unit_price,revenue,customer
SO-10001,2025-01-02,North,Headset,Audio and Video,6,6500,39000,Jasmine Pharma
SO-10002,2025-01-03,East,24-inch Monitor,Displays,20,14500,290000,Evergreen Foods
SO-10003,2025-01-03,West,Headset,Audio and Video,5,6500,32500,Anvil Logistics
SO-10004,2025-01-04,East,27-inch Monitor,Displays,13,24000,312000,Deccan Motors
SO-10005,2025-01-04,West,24-inch Monitor,Displays,13,14500,188500,Falcon Freight
SO-10006,2025-01-04,North,Office Chair,Furniture,10,12500,125000,Saffron Kitchens
SO-10007,2025-01-04,East,27-inch Monitor,Displays,21,24000,504000,Coral Retail
SO-10008,2025-01-05,East,Standing Desk,Furniture,13,32000,416000,Saffron Kitchens
SO-10009,2025-01-05,South,27-inch Monitor,Displays,17,24000,408000,Evergreen Foods
SO-10010,2025-01-05,South,Wireless Mouse,Accessories,13,1200,15600,Coral Retail
SO-10011,2025-01-05,South,27-inch Monitor,Displays,5,24000,120000,Ganga Textiles
SO-10012,2025-01-06,North,Office Chair,Furniture,24,12500,300000,Jasmine Pharma
SO-10013,2025-01-06,North,Office Chair,Furniture,4,12500,50000,Harbour Hotels
SO-10014,2025-01-06,South,Standing Desk,Furniture,2,32000,64000,Falcon Freight
SO-10015,2025-01-06,East,Headset,Audio and Video,20,6500,130000,Quartz Mining
SO-10016,2025-01-07,West,Webcam,Audio and Video,16,4200,67200,Peacock Apparel
SO-10017,2025-01-07,East,27-inch Monitor,Displays,5,24000,120000,Riverstone Realty
SO-10018,2025-01-07,North,Laptop Stand,Accessories,24,1800,43200,Ganga Textiles
SO-10019,2025-01-07,North,Office Chair,Furniture,8,12500,100000,Harbour Hotels
SO-10020,2025-01-07,North,Conference Speaker,Audio and Video,20,18000,360000,Evergreen Foods
SO-10021,2025-01-07,West,Wireless Mouse,Accessories,15,1200,18000,Cedar Finserv
SO-10022,2025-01-07,North,27-inch Monitor,Displays,17,24000,408000,Tamarind Tech
SO-10023,2025-01-07,North,Office Chair,Furniture,5,12500,62500,Totally Fine Corp
SO-10024,2025-01-07,East,Standing Desk,Furniture,7,32000,224000,Falcon Freight
SO-10025,2025-01-07,North,24-inch Monitor,Displays,3,14500,43500,Ganga Textiles
SO-10026,2025-01-08,West,27-inch Monitor,Displays,6,24000,144000,Banyan Health
SO-10027,2025-01-08,North,27-inch Monitor,Displays,12,24000,288000,Cedar Finserv
SO-10028,2025-01-09,North,24-inch Monitor,Displays,21,14500,304500,Riverstone Realty
SO-10029,2025-01-09,West,Standing Desk,Furniture,11,32000,352000,Cedar Finserv
SO-10030,2025-01-09,East,Webcam,Audio and Video,11,4200,46200,Vista Telecom
SO-10031,2025-01-09,West,Headset,Audio and Video,22,6500,143000,Umber Paints
SO-10032,2025-01-09,West,Conference Speaker,Audio and Video,7,18000,126000,Tamarind Tech
SO-10033,2025-01-09,West,Standing Desk,Furniture,3,32000,96000,Bluepeak Analytics
